URL,Extracted Info
https://news.google.com/rss/articles/CBMipgFBVV95cUxPVTJjVkxObVVUc3Y0YTBUbjZUeG9vdjRQcFlJZ3JRUllhei1BOGttTUJSeGZ6d0t0RnRLWlN4WlN5WmZPY0ZZX0NLYTdockRzVTh3UkdjSGRob1g3czFrLV9SVjYwaER1X0t2ZDRzOHZSVHA0WF9kaHl2OXl6V2RtdXhWZjdHdmtmWjlHQVdoQ3p6QXlWcE90cUN0bEtFNXdEMHNWNjJB0gGuAUFVX3lxTE5sbUxnQ0Vvek5sbUhsdi16MzBvRXN6ejVMVVd2MWVkSV9qZXp4Z2pRRTk2X3FxaWlyWGlnc0VTOTFkMkZ3cm0ycTllWTk3dVo0TnY2d1FudUdMc01zcXBhYllhQzd2RUxRTDdIMl9GYldYZ2d0MEtkeDd3bW9ybGhhRkJ0a242ZDVjOUlFLWpDY0dKNHFpLW1VWjZ4eGVQa3ZzTkhKSGFuSVNlYVJuZw?oc=5,"Harassment, Chennai"
https://news.google.com/rss/articles/CBMixgFBVV95cUxPSk1IWDJFYTc2Ujh4YmJMbmRRY1I2YTJFSUxNUFhXUDRveDRqaUJ1bHNzN3RhQ05qd1RWWVdvSHlEOGJyNjRBaERWcm5GN1VqSFpFRDRzay02WVJjUldxcGJLekM2Nmd0UlFIZl96eURIbVhNTGpqTHZRM0JIZkk1WnotLUREU1VZUXdhLWp2Rzd5LUY4VXFKUnVYeG1udHhiaXJDMWxWbHM4d3NiZzRwS2gyS2ctZ09DOHo3TWZiZTdSV0FYMGfSAcsBQVVfeXFMTldBZHNlVWpVUmRCenlKb1o3RzEwYk9Ldl8tVVB6ZGdUZS13aVE2eTdsQk51V2dUWDVnZ3VGSFBFYmdzQzZhS2NGVThMd0ZBOHdqWlM2Z2VQOTlvTTh6NW9oSm9SaGt5MElTd1p1X0lRYUFoTnFFTWRtd3NGaklkZ0l3RkVzTVpXOVhoTlZQS1NGek9DOGo0Q2dwcER0VVdJcTVqMGlpWTFmY2dGdGpjZFBXa2hKcXhwOUFDbVJDWGJ5Z1QwaUVoTHFNOHM?oc=5,"Sexual Assault, Chennai"
https://news.google.com/rss/articles/CBMi4AFBVV95cUxPNVh0LVpYenJWZXpYb1pKcGxaRTlQQTZpeVA3ZENfNjE4bXc5M1o5QUVIOXFNam92Q3pZUHpXTm1BYW51Y3AzaHVKMkd5QlZkcmJsQkR0MWRSUnB6ZklYQ0duX0ZkdkhCbGlhZ08xSW5JRzRxUDE4MC1zTGJFS0RkcTA1eVVHc3IxU29yTkxHdUVyUE5ld0JmSFh3TUZ3Y0M4ZURpUGdRcmpTSm1LbDFxV1ktTE83cnRUMmdmNk5HT3l5S2E1NlNLSTgtQjJlcUVIbVZYMGtySlJEMjNGSU5QWNIB6AFBVV95cUxQaWFaR200TFpvdVFDcW5Wb3FKc0RsTjBzYjlqd2ZEWkNha2RWS1dtaG9nWFRTZHlsU1o5dW9fWHluN2VBc0EtTVk3cnlKVVlfUUh1elZ4b1cxS1loWWk5NTZpbjlwMmxkcm04Z3VGYjN1SlMzV1ZHM01aVllJRW04aGNjRjNxQnJWcnlhUTNSTFRYR0hUMjVHMjl4UU84REFXb2FxRVBmSXVzZGo4cGRORFBpQ20wUl85akFsbnNDZjZuNkItd0tjR3FtMnIzQWVnUE9XOGY4Rk1DempFV0E4d3pRRWg3Nkct?oc=5,"Here are the extracted incident types and locations:

* Molestation, Singapore (no specific location mentioned)
* Assault, Chennai (Thirumangalam police station)
* Kidnapping, US (alleged by Dhivya)"
https://news.google.com/rss/articles/CBMi1AFBVV95cUxNeXpkVDQ3MzFLV3JJaEVwLWhmVEZfdUpGbWVDcGRWQUQwa2tfdEw0bXBnY0dkYTk3R3J0c1NmaTg1VXZjTkl6M0RLX2djTS1ZeHhBS0FNSkFaWXZuRTFwcnY1Ym52RnNqNkxhcnNwYmZJa3JrVTd5ZWN6MXljWE9jREp1aHFnNG1nc0lJaGUtNkRmU09IX0VfV2ZmNko2cEZ1amp2YzBmWWdFSUozZWRScnhDYTBXOEQ1VkxRd2FBcTZkOExIX0cxOWctT0hBWkUxQ2xnX9IB2gFBVV95cUxPVjFoWUhRZjl2WWtGcUFVb1dJX1YwdFhNcGd0dl9VTy01OFZIYWtCdzE4QlhYekl1TFp5eW5ybDBKb0Q0bFZ4RlRqLWhaTFpqb05JNUs0RFBCNE4xVHNpY0xNYk9veGVaXy15M2Jsc3VIZHRBN2F2a1ZfSEtWU3YzVVVkSkU0cHhzVEJLX0JZLUdIbGFoUDUzcEd1RUJwQVByMW9NdWhrUE5MX2N1ZjMxcTZsRmxRV1F0M0tOb1d0MUhsYXF5UUI4c3I0anFJckt6U1h2SlNoX2hUZw?oc=5,"Harassment, Chennai"
https://news.google.com/rss/articles/CBMi0wFBVV95cUxPdWJGNnoxTWkwQWFxOUZiblBnaGdiaFJaTHBxVjNQbXV0em9FS2FfVm1zS2dqdWJ2WGpyTzdNVDRma2hLMzFuTmNqVEdOUzZGVjJhOFdseW5wWWh2WVRQaWg4MUNrTFpoYWhpRktPN0FSRVNjYXREOVIxRklPVzAzMjFTMl9vUUk4Wmd5TUhaNTRxN0pLQWdrTEMtUHV3X21qNmtDanlTNHpDTjM3S2JNb2F0RHNydHFSem9CaEo4cWp1eV9pcnpkOVR6dkNsYUdBY3Jz?oc=5,No incident type or location mentioned in the article text.
https://news.google.com/rss/articles/CBMivwFBVV95cUxNdWU3T1k2VmJMV2dkbjJ3QnNVc29XdHE4aGRaWXpJOGVibWM3eHdvVjJ5anNvRU1VSzNtWXlpYzY2WkpmOHlEeG1XQlFWdS1aU0hOZzZJQWNvTF9Wb0hFenJTWUJwd1kxcG5ZWDhscVJoWG5zOWNMeDBfa0NMZkRPTGtSbzJLSEN1cWh1X3BWRXBrNjlzOGVEOEN6VGhrRHdlTkpmcXkzbDVzUVRsaWhEdzBVc2ZuNzdfcTd3Ny1DMNIBxwFBVV95cUxOX0tOWWtFai1SVmRneWw0UWZMNV9JN0NPWk5uVG91b3hfVWRSZWRyOC1nMWh2dzduMVBlZVJsYnIzRGJRSlNlaU5hSjBpeGdYb0t2RVRpWUZ4VUlEQWhrSkhfXzhsMlAxWDVGQVRabG5RUkI3VkdEWFdhMW8zeGZoZS02QS1BQlJubFZELV9yZzZDSkhfaXpCTTVqenJoYWtRTjRhZzFLX2liWTBqbFdLektyVWc5MEJ3eFFreTZKcDNnU0R1ZFJJ?oc=5,"Sexual Harassment, Chennai"
https://news.google.com/rss/articles/CBMi3gFBVV95cUxOM1FCcVA4WnFvWjNlbU1tM3pjMXlqZWlrVEtWc2t6ekw5aUdNeGJ4di1kTnBvV01vcEpyM0tKbXhhUjNTcUltZl9YWWJmVm44LVZacDBqQnA2aXJ3UDhYNEJNRzdxc253Z2ZLY0VtUS1lZmlHbHprbmM5TFBiMG9XLUFvWHcxZHFJWFBSQ0tQZThMOU9Jb1huQlFaZWpyT09zRnltcE9ESGpfSmZ5Yjc0QmRPYWI5RWJOVF9na2pjaGxQSzRtXzg3ZDFLVmdVWEhxOWtTMWt0Qno1OVd1eEE?oc=5,"Here are the extracted incident types and locations:

* Abduction, Chennai
* Domestic violence, Chennai
* International child abduction, United States
* Sexual assault, Singapore
* Solicitation and prostitution, Singapore"
https://news.google.com/rss/articles/CBMi7wFBVV95cUxNTm5tdDhlclFGanJSaUFuRVl0cFE4YUQ3S3o1SG9BYndhRl9Jd0J6TGhTWmo1SnN4VzFtVFA2OGtqcnpuTFUxdTNrWnNNV0ljclZhUXQwV1I5ODZtU1R5elZpZXM5Y1JnTlQyMGY0Tml2UG1seFlMVGhyMWJJX3JSLXFtX3VGcmlselFEOENFb2dhMVlBUDByd2VJX3ViMUpBRnBYUVpwRmRKYVVaYWg2ZmpiM1o2X0RuLWg2STVCbUZUZzhoZFJMY0kyMkY4RmdUNXBMc0QtbHY2aG9xaGxDREdHWnlNcG1hRE9FZlNXb9IB9AFBVV95cUxNbTZKbVMteXVqc0JQanF2Zmk1ZVh1aS1vcmsxdnpKQWV3MGRMSXNEWmtSMmo3Xy1VNG03WEFJNWxvYWpacGlUTV9ZRTgzMFhXckstU2Q1WXFPSHR0eEdrQ0ZweXBEMXBhRjZENXBaOVozbzZkbWgxTTlKMzNhMkltQ0txblZabnVYWXV0UEUwa3JpNG5EWkRPR1ltRk5FWGVXdlNlZnRYQWhYdWgwSXFFMm4wQkdSMmFLRFFfcDJKeHVkemZWMmFZNFNkLXhCT0RPMkljSEVubmxyX29qaEdWT0gwcGh1eTdmdm94aldkQmFqY1o5?oc=5,"Assault, Chennai"
https://news.google.com/rss/articles/CBMi-AFBVV95cUxQdml5LVExSHZTTTg2aDZyUWYtYi1TdlVjZThodm9pVHA0YnNyQkxxOGxPb2c5b3diOWppM25QMGQwZHl2dEE5N1lZYWpYRWlxODlVSU12U0JWYVFLRUtYSlRCa0RSSEg0T0xGVjBtU0hieFNPS01UZWV6TnpvcVJBYldwRE94dGx6QTYwNVlVd2hHN3FFWkFSSG5WSkpURTRRdE42TWRHcEFZVHBraGkxVzNjZTcwOElwcWlfTUQxU1pCN3JkOWduQ3Bzb0NjVlhidS1jREI4cUNpenp0NkFTMFd3SzN1TDdkNF9fU0ZfWW9RbW1YQ2c1R9IB_gFBVV95cUxObGdpelVLclVuTzFKQTBZekZuV3h0enVWRnFKS1YxeHlVSk5YVFNYN1hkdGljXzBiQTl1ZVN2U2VJWC1tTGdSUVdhUm5jQThHZlpqLS0xUDFWNnpvclJHT0NBc0FJWEZrMmM4VVd5MUVKUnYwcGFwcXM4Smo0ZzlFQkZzZEN3TWZaSVFUd3U4WXNjS0R0d05IU29OTHJycmdSWVRTNGlvWnhaYTVGVjRZb0JKd29EdW5fcFBWV0ptNXdRX0VqUnJEY3FrNVZKQ2MzYTlpMlJxWnFCWi1fMk54S3JWVkZsWS1hLWY2dDNOeEFXN005eFF4RDRkUm5PQQ?oc=5,"Sexual Assault, Chennai"
https://news.google.com/rss/articles/CBMiqwFBVV95cUxPNWgyTEYwdUJNTWNqOWJlbkhFblNRUUdKS0M1NzJHa1l5RFJZbGNLUGkzOWVUY3NRUXZOb2RfSW90U1QwOWVJUnAyMUpFUTkyUzZ5TkRDLU1YRFY0N2NzLV9vLVA4WWZQaFpZWWxTQUYtaklSbXpnS1RQbWctNW55bmp3YmRVb3k3RUlYc09QemUwTzJmR2g3Y1E1bXdOQmZfbWFxSUh2TnRKWDA?oc=5,"Harassment, Chennai"
